Customer_Type,Type_of_Travel,Class,Departure_Delay,Arrival_Delay,Ease_of_Online_Booking,On_board_Service,Seat_Comfort,Cleanliness,Food_and_Drink,In_flight_Service,In_flight_Wifi_Service,In_flight_Entertainment,Baggage_Handling,Satisfaction
1,1,1,30.0,41.0,1,2,4,4,4,3.0,1,4,3.0,0
1,1,1,0.0,2.0,1,5,5,2,2,5.0,1,2,5.0,0
1,1,1,103.0,117.0,3,4,5,5,5,5.0,3,5,3.5305437342478205,0
1,1,1,88.0,84.0,2,3,5,5,5,5.0,2,5,2.0,0
1,1,1,42.0,37.0,2,3,3,4,4,3.0,2,3,3.0,0
1,1,1,7.0,15.0,2,1,4,4,4,3.0,2,4,4.0,0
1,1,1,0.0,0.0,4,4,2,2,2,3.0,4,2,4.0,0
1,0,0,54.0,49.0,1,4,4,4,4,4.0,1,4,4.0,1
0,0,0,115.0,116.0,3,1,5,5,5,3.0,3,5,3.0,0
0,0,0,11.0,5.0,2,4,2,2,2,5.0,2,2,4.0,0
0,0,0,38.0,44.0,3,2,4,3,3,3.0,3,3,3.0,0
1,0,0,56.0,57.0,1,5,5,5,5,5.0,1,5,5.0,1
0,0,0,0.0,0.0,3,4,3,2,2,5.0,3,2,4.0,0
1,0,0,4.0,15.0,2,4,4,4,2,4.0,2,4,4.0,1
1,0,0,0.0,16.0,5,4,4,4,4,4.0,5,4,4.0,1
1,0,0,0.0,0.0,2,4,4,5,2,4.0,2,4,4.0,1
1,0,0,3.0,3.0,5,3,3,1,4,3.0,3,3,3.0,0
1,0,0,0.0,5.0,4,4,4,4,4,5.0,4,4,4.0,1
1,0,0,7.0,1.0,4,4,4,4,3,4.0,4,4,4.0,1
1,0,0,0.0,0.0,4,4,5,4,3,4.0,2,4,4.0,1
1,0,0,0.0,18.0,0,2,4,4,2,2.0,0,2,2.0,1
1,0,0,0.0,0.0,0,1,5,5,5,3.5396954922943435,0,1,3.5305437342478205,1
1,0,0,265.0,260.0,1,2,4,4,3,3.0,4,4,4.0,0
1,0,0,66.0,61.0,4,4,5,3,2,4.0,4,4,4.0,1
1,0,0,117.0,136.0,1,1,2,2,2,2.0,2,4,4.0,0
1,0,0,58.0,62.0,3,2,3,3,2,2.0,2,2,2.0,0
1,0,0,41.0,50.0,3,2,2,1,4,2.0,2,2,2.0,0
0,0,1,166.0,185.0,2,3,3,3,2,2.0,2,4,4.0,0
1,0,0,11.0,19.0,5,5,5,5,2,5.0,5,5,5.0,1
1,0,0,44.0,42.0,4,3,3,4,5,3.0,3,3,3.0,0
1,0,0,0.0,10.0,3,5,4,3,5,5.0,3,5,5.0,1
1,0,0,0.0,0.0,4,5,5,5,4,5.0,4,5,5.0,1
0,0,0,0.0,11.0,4,1,5,5,5,4.0,4,5,4.0,0
0,0,0,4.0,9.0,2,1,5,3,3,3.0,2,3,4.0,0
1,0,0,0.0,0.0,3,1,4,1,1,3.5396954922943435,1,1,3.5305437342478205,0
0,0,1,0.0,0.0,1,3,2,2,2,4.0,1,2,3.0,0
1,0,0,0.0,0.0,4,5,5,1,5,5.0,4,5,5.0,1
1,1,1,55.0,59.0,2,4,5,4,4,4.0,2,4,3.0,0
1,1,1,49.0,63.0,2,3,5,5,5,4.0,2,5,5.0,0
1,1,1,0.0,0.0,0,1,5,5,5,4.0,3,5,5.0,0
1,1,1,6.0,0.0,2,2,4,3,5,2.0,2,2,2.0,0
1,1,1,134.0,133.0,4,5,4,4,4,5.0,4,5,4.0,0
1,1,1,52.0,56.0,0,4,2,2,2,5.0,2,2,5.0,0
1,1,1,31.0,25.0,0,4,2,3,2,4.0,2,4,4.0,0
1,1,1,0.0,0.0,0,5,5,4,5,5.0,3,5,3.5305437342478205,0
1,1,1,36.0,43.0,3,3,4,4,4,5.0,3,4,5.0,0
1,1,1,0.0,10.0,2,4,4,4,4,3.0,2,4,3.5305437342478205,0
1,1,1,0.0,0.0,3,4,2,2,2,5.0,3,2,5.0,0
1,0,0,15.0,12.0,4,5,5,3,5,5.0,4,5,5.0,1
1,0,0,10.0,10.0,1,5,4,4,2,5.0,1,5,5.0,1
1,0,0,6.0,9.0,3,3,4,2,1,3.0,3,3,3.0,0
0,0,0,0.0,0.0,2,3,5,5,5,4.0,2,5,4.0,0
1,1,2,0.0,17.0,2,4,5,4,4,4.0,2,4,4.0,0
1,1,2,39.0,56.0,1,4,1,1,1,5.0,1,1,4.0,0
1,1,2,0.0,0.0,2,3,4,4,4,4.0,2,4,4.0,0
1,0,0,0.0,0.0,0,1,4,5,3,3.5396954922943435,0,1,3.5305437342478205,1
1,0,0,0.0,13.0,0,5,5,5,5,5.0,0,5,5.0,1
1,0,0,0.0,0.0,4,5,4,3,3,5.0,4,5,5.0,1
1,0,0,0.0,0.0,4,4,4,3,2,4.0,4,4,5.0,1
0,0,0,0.0,0.0,3,5,2,2,2,5.0,3,2,4.0,0
1,0,0,0.0,0.0,0,1,4,5,4,3.5396954922943435,0,1,3.5305437342478205,1
1,0,0,19.0,29.0,1,3,3,1,4,3.0,2,3,2.0,0
1,0,0,0.0,0.0,1,3,4,3,3,3.0,1,3,5.0,1
0,0,0,0.0,0.0,3,3,5,5,5,4.0,3,5,4.0,0
0,0,0,0.0,0.0,4,4,5,5,5,5.0,4,5,5.0,1
1,0,0,0.0,0.0,0,3,5,4,5,3.0,0,3,3.0,1
1,0,0,0.0,0.0,2,5,4,3,4,5.0,2,5,5.0,1
0,0,0,41.0,29.0,2,4,2,2,2,4.0,2,2,3.0,0
1,0,0,95.0,85.0,3,2,4,3,5,2.0,2,2,2.0,0
1,0,0,0.0,0.0,1,5,4,3,5,5.0,1,5,5.0,1
1,0,0,128.0,117.0,2,5,4,3,3,5.0,2,5,5.0,1
1,0,0,0.0,0.0,0,2,5,4,5,2.0,0,2,2.0,1
0,0,1,21.0,31.0,5,3,1,1,1,4.0,5,1,4.0,1
1,0,0,0.0,0.0,4,5,5,3,5,5.0,4,5,5.0,1
0,0,0,0.0,0.0,4,5,3,3,3,5.0,4,3,4.0,1
1,0,0,36.0,24.0,4,4,5,5,2,4.0,4,4,4.0,1
1,0,0,54.0,55.0,3,1,4,1,5,3.5396954922943435,1,1,3.5305437342478205,0
1,0,0,65.0,85.0,5,2,3,3,5,2.0,1,2,3.5305437342478205,0
0,0,0,17.0,4.0,3,5,5,5,5,4.0,3,5,5.0,0
0,0,0,0.0,0.0,3,4,5,5,5,4.0,3,5,3.0,0
1,0,0,9.0,8.0,3,4,3,1,2,4.0,2,4,2.0,0
1,0,0,21.0,19.0,5,4,3,2,5,4.0,4,4,4.0,0
1,0,0,0.0,0.0,4,3,3,1,4,3.0,3,3,3.0,0
1,0,0,0.0,0.0,0,4,5,3,5,4.0,0,4,3.5305437342478205,1
0,0,0,20.0,21.0,2,4,5,5,5,4.0,2,5,4.0,0
1,0,0,0.0,0.0,3,4,2,5,1,4.0,2,4,4.0,1
0,0,1,6.0,4.0,4,2,2,2,2,3.5396954922943435,4,2,3.5305437342478205,0
0,0,1,1.0,4.0,5,4,3,3,3,3.0,5,3,5.0,1
1,0,0,25.0,13.0,5,1,2,5,5,4.0,2,5,3.0,0
1,0,0,0.0,0.0,3,1,3,2,2,3.0,3,2,4.0,0
0,0,0,0.0,0.0,2,1,5,3,3,4.0,2,3,3.0,0
1,1,1,0.0,0.0,3,1,4,4,4,4.0,3,4,3.0,0
1,1,1,0.0,2.0,0,4,3,3,3,4.0,0,3,4.0,1
1,1,1,0.0,0.0,2,4,5,5,5,4.0,2,5,4.0,0
1,1,1,0.0,3.0,4,3,2,3,3,4.0,4,3,2.0,0
1,1,1,0.0,0.0,5,4,2,2,2,4.0,4,2,4.0,0
1,1,1,25.0,42.0,3,1,3,3,3,4.0,3,3,4.0,0
1,1,1,0.0,0.0,2,4,3,3,3,5.0,2,3,5.0,0
1,1,1,0.0,5.0,4,1,1,1,1,3.5396954922943435,4,1,3.5305437342478205,0
1,1,1,192.0,293.0,1,5,5,5,1,3.0,1,4,4.0,0
1,1,1,0.0,24.0,3,4,2,2,2,5.0,3,2,4.0,0
1,1,1,0.0,0.0,4,4,3,3,3,2.0,4,3,4.0,0
1,1,1,0.0,0.0,3,4,2,2,2,4.0,3,2,4.0,0
1,1,1,20.0,8.0,0,5,5,5,4,5.0,3,5,5.0,0
1,1,1,0.0,0.0,3,3,4,4,4,4.0,3,4,4.0,0
1,0,0,0.0,0.0,5,5,5,3,4,5.0,5,5,4.0,1
0,0,0,6.0,40.0,2,3,2,2,2,4.0,2,2,4.0,0
1,0,0,14.0,10.0,1,4,4,3,5,4.0,1,4,5.0,1
1,0,0,0.0,0.0,4,5,4,5,4,5.0,4,5,5.0,1
0,0,0,0.0,0.0,4,2,1,1,1,4.0,3,1,3.0,0
1,0,2,0.0,0.0,4,1,3,3,3,3.0,3,3,5.0,1
1,1,2,0.0,0.0,5,5,2,2,2,5.0,5,2,4.0,1
1,0,0,0.0,4.0,4,2,2,4,1,2.0,2,2,2.0,0
1,1,0,0.0,2.0,3,3,2,2,2,5.0,3,2,5.0,0
1,0,0,82.0,89.0,3,5,5,3,3,5.0,2,5,5.0,1
1,0,0,2.0,11.0,3,4,5,3,3,4.0,3,4,4.0,1
1,0,0,7.0,26.0,5,5,5,5,2,5.0,5,5,5.0,1
1,0,0,10.0,27.0,2,4,5,5,5,5.0,2,5,5.0,1
0,0,0,0.0,0.0,4,5,1,1,1,4.0,4,1,4.0,0
0,0,1,14.0,25.0,1,4,1,1,1,4.0,1,1,3.0,0
0,0,0,45.0,41.0,2,2,3,3,3,2.0,2,3,2.0,0
1,0,0,17.0,25.0,2,3,3,3,3,3.0,3,3,3.0,0
1,0,0,116.0,140.0,2,2,3,3,3,4.0,3,3,3.0,0
1,0,0,38.0,0.0,1,4,4,4,4,3.0,4,4,4.0,0
1,0,0,35.0,42.0,4,2,3,3,3,3.0,3,3,4.0,0
0,0,1,0.0,0.0,2,1,5,5,5,3.0,2,5,5.0,0
1,1,1,0.0,0.0,3,1,4,5,5,3.5396954922943435,3,1,3.5305437342478205,0
0,1,1,193.0,205.0,3,3,2,2,3,3.5396954922943435,3,3,3.0,0
1,1,2,20.0,22.0,2,2,3,2,3,2.0,1,2,2.0,0
1,1,2,51.0,79.0,2,4,2,2,2,5.0,2,2,4.0,0
1,1,2,80.0,76.0,1,5,1,2,2,4.0,1,2,5.0,0
1,0,0,158.0,213.0,4,5,3,3,3,4.0,4,3,5.0,1
0,0,0,92.0,99.0,5,5,2,2,2,5.0,5,2,5.0,1
1,0,0,1.0,0.0,2,5,4,5,3,5.0,2,5,5.0,1
1,0,0,4.0,0.0,4,4,5,5,4,4.0,4,4,4.0,1
1,0,0,14.0,19.0,3,4,3,2,5,4.0,4,4,4.0,0
1,0,0,29.0,22.0,5,2,3,2,2,2.0,2,2,2.0,0
1,1,1,6.0,6.0,3,2,2,4,1,2.0,2,2,2.0,0
1,1,0,0.0,6.0,2,4,4,4,2,4.0,2,4,5.0,0
1,1,0,0.0,0.0,1,2,3,1,2,2.0,1,2,2.0,0
1,0,0,1.0,0.0,5,5,4,3,3,5.0,5,5,5.0,1
1,0,0,0.0,0.0,4,4,5,4,5,4.0,3,4,4.0,1
1,0,0,0.0,0.0,3,3,4,3,4,3.0,2,3,3.0,1
1,0,0,0.0,0.0,1,4,5,3,3,4.0,1,4,4.0,1
0,0,1,35.0,18.0,3,2,3,3,3,4.0,3,3,3.0,0
1,0,0,165.0,167.0,5,5,4,4,5,4.0,5,5,5.0,1
1,0,0,0.0,14.0,2,4,5,4,2,4.0,2,4,4.0,1
0,0,0,0.0,2.0,1,4,4,4,4,4.0,2,4,3.0,0
1,0,0,0.0,0.0,1,3,2,3,2,3.0,3,3,3.0,0
1,0,0,0.0,0.0,2,2,3,1,5,2.0,2,2,2.0,0
0,0,0,0.0,0.0,3,3,1,1,1,3.0,4,1,3.0,0
1,0,0,0.0,0.0,3,3,4,4,4,4.0,3,4,5.0,1
0,0,1,0.0,0.0,3,4,2,2,2,2.0,2,2,4.0,0
1,0,0,0.0,0.0,3,5,3,5,5,5.0,3,5,5.0,1
1,1,1,0.0,0.0,1,3,4,4,4,3.5396954922943435,2,4,3.0,0
1,1,1,0.0,0.0,3,4,1,1,1,4.0,3,1,4.0,0
1,1,1,0.0,0.0,4,4,3,3,3,4.0,4,3,5.0,1
1,1,1,0.0,0.0,3,3,5,5,5,5.0,3,5,5.0,0
1,1,1,0.0,0.0,4,3,4,4,4,5.0,4,4,5.0,1
0,0,0,11.0,4.0,4,3,2,2,2,5.0,4,2,4.0,1
0,0,1,0.0,0.0,4,4,4,4,4,5.0,4,4,5.0,1
1,0,0,2.0,0.0,5,1,4,2,3,3.5396954922943435,1,1,3.5305437342478205,0
1,0,0,0.0,0.0,3,5,5,4,2,5.0,3,5,5.0,1
1,0,0,0.0,0.0,5,5,5,4,5,5.0,5,5,5.0,1
1,1,2,74.0,74.0,2,5,1,4,3,5.0,3,5,5.0,0
1,1,2,0.0,0.0,3,3,4,4,4,5.0,2,4,4.0,0
0,0,0,0.0,0.0,1,4,1,1,1,4.0,1,1,4.0,0
1,0,0,0.0,0.0,3,4,5,5,3,4.0,1,4,4.0,1
0,0,1,14.0,0.0,3,5,1,1,1,5.0,4,1,4.0,1
1,0,0,43.0,17.0,4,2,3,2,5,2.0,2,2,2.0,0
1,1,1,11.0,12.0,3,2,1,1,1,4.0,3,1,3.0,0
1,1,1,123.0,120.0,4,4,2,3,3,4.0,4,4,4.0,0
1,0,0,0.0,8.0,4,3,3,3,5,3.0,3,3,3.0,0
1,0,0,62.0,67.0,1,4,4,5,3,4.0,1,4,4.0,1
0,0,0,5.0,0.0,3,4,5,5,5,4.0,3,5,4.0,0
1,0,0,45.0,50.0,2,5,4,3,3,5.0,2,5,5.0,1
0,0,0,0.0,0.0,4,3,3,3,3,5.0,4,3,4.0,1
1,0,0,18.0,19.0,2,3,4,4,5,3.0,2,3,3.0,1
1,0,0,18.0,18.0,4,5,5,4,5,5.0,5,5,5.0,1
1,0,0,13.0,11.0,2,5,5,5,3,5.0,2,5,5.0,1
1,0,0,0.0,0.0,2,1,4,2,1,3.5396954922943435,1,1,3.5305437342478205,0
1,0,0,55.0,49.0,1,4,5,4,4,4.0,1,4,4.0,1
0,0,0,0.0,0.0,5,3,3,3,3,5.0,5,3,5.0,1
1,0,0,0.0,15.0,5,5,5,5,5,4.0,5,5,4.0,1
1,0,0,0.0,0.0,1,4,5,3,4,4.0,3,4,4.0,1
1,0,0,0.0,0.0,2,4,5,4,4,4.0,2,4,4.0,1
1,0,0,0.0,12.0,1,3,4,4,5,3.0,1,3,3.0,1
0,0,0,10.0,5.0,2,4,4,4,4,4.0,2,4,4.0,0
1,0,0,41.0,133.0,2,2,5,5,5,4.0,2,4,4.0,1
0,0,0,25.0,36.0,4,5,4,3,3,4.0,4,3,5.0,0
1,0,0,0.0,9.0,2,4,4,5,2,4.0,2,4,4.0,1
1,0,0,2.0,3.0,1,3,5,5,5,5.0,1,5,5.0,1
1,0,0,0.0,0.0,1,5,4,3,2,5.0,1,5,5.0,1
0,0,0,0.0,0.0,5,3,5,5,5,5.0,5,5,5.0,1
0,0,0,0.0,10.0,2,2,1,1,1,3.0,2,1,3.0,0
1,0,0,2.0,0.0,3,2,4,3,1,2.0,2,2,2.0,0
0,0,0,0.0,0.0,3,2,3,3,3,3.0,2,3,3.0,0
1,0,0,0.0,8.0,1,2,4,3,2,2.0,2,2,2.0,0
1,0,0,0.0,7.0,3,2,3,2,1,2.0,2,2,2.0,0
1,0,0,0.0,0.0,2,4,5,4,2,4.0,2,4,4.0,1
0,0,0,0.0,3.0,4,5,5,5,5,4.0,4,5,4.0,1
0,0,0,19.0,3.0,3,2,2,2,2,4.0,3,2,4.0,0
1,0,0,0.0,0.0,1,5,5,5,5,4.0,1,5,4.0,1
1,0,0,12.0,32.0,3,1,4,3,1,3.5396954922943435,1,1,3.5305437342478205,0
1,0,0,16.0,4.0,1,4,5,3,2,4.0,2,4,4.0,1
1,0,0,9.0,0.0,3,1,3,3,1,3.5396954922943435,1,1,3.5305437342478205,0
1,0,0,0.0,5.0,4,2,3,3,2,2.0,2,2,2.0,0
1,0,0,0.0,9.0,4,3,3,2,4,3.0,3,3,3.0,0
1,0,1,0.0,0.0,5,2,4,4,4,2.0,4,4,3.0,1
0,0,1,5.0,15.0,5,5,2,2,2,3.0,5,2,3.5305437342478205,1
0,0,1,0.0,0.0,3,4,1,1,1,4.0,3,1,3.5305437342478205,0
1,0,0,10.0,0.0,0,1,3,1,5,3.5396954922943435,1,1,3.5305437342478205,0
1,0,1,0.0,0.0,4,1,4,4,4,4.0,4,4,4.0,0
1,1,1,0.0,9.0,4,4,4,3,3,4.0,4,4,4.0,0
1,1,1,0.0,0.0,3,2,2,2,2,3.0,2,2,2.0,0
1,1,1,0.0,0.0,3,5,2,2,2,5.0,3,2,4.0,0
1,1,1,0.0,6.0,1,4,2,3,3,4.0,1,3,5.0,0
1,1,1,0.0,12.0,2,3,3,3,3,4.0,2,3,5.0,0
1,1,1,0.0,0.0,3,4,3,4,2,4.0,3,4,4.0,0
1,1,1,18.0,13.0,2,2,1,1,1,4.0,2,1,4.0,0
1,1,1,23.0,17.0,1,4,4,2,2,2.0,1,2,3.0,0
1,1,1,27.0,36.0,1,1,4,4,4,4.0,1,4,3.0,0
1,1,1,9.0,8.0,3,4,5,5,5,3.5396954922943435,3,5,2.0,0
1,1,1,0.0,0.0,3,3,1,1,1,4.0,3,1,5.0,0
1,1,1,0.0,0.0,4,4,4,4,4,3.0,3,4,3.0,0
1,0,0,0.0,12.0,5,5,4,4,4,5.0,5,4,5.0,1
1,0,0,31.0,30.0,2,2,3,2,3,2.0,2,2,2.0,0
1,1,2,0.0,0.0,1,3,5,5,5,4.0,2,5,5.0,0
1,1,2,0.0,15.0,3,3,4,5,5,3.5396954922943435,4,5,3.5305437342478205,0
1,1,2,23.0,10.0,2,2,4,4,2,2.0,2,2,2.0,0
1,1,2,0.0,0.0,2,4,5,5,5,2.0,2,5,2.0,0
1,0,0,23.0,24.0,4,4,4,5,2,4.0,4,4,5.0,1
